,Year,Timesteps,From reg,To reg,Carrier,Value
8493,2024,22,reg3,reg1,Final_electricity,0.0
8494,2024,23,reg3,reg1,Final_electricity,0.0
8495,2024,24,reg3,reg1,Final_electricity,0.0
8496,2025,1,reg3,reg1,Final_electricity,0.0
8497,2025,2,reg3,reg1,Final_electricity,0.0
8498,2025,3,reg3,reg1,Final_electricity,0.0
8499,2025,4,reg3,reg1,Final_electricity,0.0
8500,2025,5,reg3,reg1,Final_electricity,0.0
8501,2025,6,reg3,reg1,Final_electricity,0.0
8502,2025,7,reg3,reg1,Final_electricity,0.0
8503,2025,8,reg3,reg1,Final_electricity,0.0
8504,2025,9,reg3,reg1,Final_electricity,0.0
8505,2025,10,reg3,reg1,Final_electricity,0.0
8506,2025,11,reg3,reg1,Final_electricity,0.0
8507,2025,12,reg3,reg1,Final_electricity,0.0
8508,2025,13,reg3,reg1,Final_electricity,0.0
8509,2025,14,reg3,reg1,Final_electricity,0.0
8510,2025,15,reg3,reg1,Final_electricity,0.0
8511,2025,16,reg3,reg1,Final_electricity,0.0
8512,2025,17,reg3,reg1,Final_electricity,0.0
8513,2025,18,reg3,reg1,Final_electricity,0.0
8514,2025,19,reg3,reg1,Final_electricity,0.0
8515,2025,20,reg3,reg1,Final_electricity,0.0
8516,2025,21,reg3,reg1,Final_electricity,0.0
8517,2025,22,reg3,reg1,Final_electricity,0.0
8518,2025,23,reg3,reg1,Final_electricity,0.0
8519,2025,24,reg3,reg1,Final_electricity,0.0
8520,2026,1,reg3,reg1,Final_electricity,0.0
8521,2026,2,reg3,reg1,Final_electricity,0.0
8522,2026,3,reg3,reg1,Final_electricity,0.0
8523,2026,4,reg3,reg1,Final_electricity,0.0
8524,2026,5,reg3,reg1,Final_electricity,0.0
8525,2026,6,reg3,reg1,Final_electricity,0.0
8526,2026,7,reg3,reg1,Final_electricity,0.0
8527,2026,8,reg3,reg1,Final_electricity,0.0
8528,2026,9,reg3,reg1,Final_electricity,0.0
8529,2026,10,reg3,reg1,Final_electricity,0.0
8530,2026,11,reg3,reg1,Final_electricity,0.0
8531,2026,12,reg3,reg1,Final_electricity,0.0
8532,2026,13,reg3,reg1,Final_electricity,0.0
8533,2026,14,reg3,reg1,Final_electricity,0.0
8534,2026,15,reg3,reg1,Final_electricity,0.0
8535,2026,16,reg3,reg1,Final_electricity,0.0
8536,2026,17,reg3,reg1,Final_electricity,0.0
8537,2026,18,reg3,reg1,Final_electricity,0.0
8538,2026,19,reg3,reg1,Final_electricity,0.0
8539,2026,20,reg3,reg1,Final_electricity,0.0
8540,2026,21,reg3,reg1,Final_electricity,0.0
